id,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,created_at,updated_at,username,firstname,lastname,email_parent,gender,pe_class_id,active_code,step,distance,icon_filename
1,a@gmail.com,$2a$10$nep/c/CCZt7TygR02cdmAu65Kwim.irljrfwuSfa9QI5fkFl2kDGG,NULL,NULL,NULL,1,"2012-07-30 22:06:42","2012-07-30 22:06:42",127.0.0.1,127.0.0.1,"2012-07-30 22:06:42","2012-07-30 22:06:42",a,a,a,a@gmail.com,f,1,0,NULL,NULL,NULL
2,b@gmail.com,$2a$10$NueERw7o5DBI4aXyPtEI6./HJ75BoUXYOHPzFhIPhc1LwqO6etVbW,NULL,NULL,NULL,1,"2012-07-30 22:07:46","2012-07-30 22:07:46",127.0.0.1,127.0.0.1,"2012-07-30 22:07:46","2012-07-30 22:07:46",b,b,b,b@gmail.com,f,1,0,NULL,NULL,NULL
3,c@gmail.com,$2a$10$ODYPU392Rop4lbJLYIgYJO.L6.6P06.ksWXZ.XuPud4OcN9sxIgXa,NULL,NULL,NULL,1,"2012-07-30 22:08:27","2012-07-30 22:08:27",127.0.0.1,127.0.0.1,"2012-07-30 22:08:27","2012-07-30 22:08:27",c,c,c,c@gmail.com,m,1,0,NULL,NULL,NULL
4,d@gmail.com,$2a$10$YJolY5JxQSeP/U7Rekmto.80avZYJEtojJnXlxq5yhKKjj3sCLpyO,NULL,NULL,NULL,1,"2012-07-30 22:09:09","2012-07-30 22:09:09",127.0.0.1,127.0.0.1,"2012-07-30 22:09:09","2012-07-30 22:09:09",d,d,d,d@gmail.com,m,1,0,NULL,NULL,NULL
5,e@gmail.com,$2a$10$VniigchbWMeXgy48nqlu/.cgGt/htnF6SrKxzRuIIq3oTEaG.DTV.,NULL,NULL,NULL,1,"2012-07-30 22:09:48","2012-07-30 22:09:48",127.0.0.1,127.0.0.1,"2012-07-30 22:09:48","2012-07-30 22:09:48",e,e,e,e@gmail.com,f,1,0,NULL,NULL,NULL
6,f@gmail.com,$2a$10$DoGDJf26bzhNMe/wRYuDjePlkdh2ok/GxhEDDi5xyNW7/Z3nMsd0C,NULL,NULL,NULL,1,"2012-07-30 22:10:25","2012-07-30 22:10:25",127.0.0.1,127.0.0.1,"2012-07-30 22:10:25","2012-07-30 22:10:25",f,f,f,f@gmail.com,f,1,0,NULL,NULL,NULL
7,g@gmail.com,$2a$10$DBLLAPgCF2PUeBXW95MOWuOgg5Xw0K8o3Hf1zz6GRuql5BZnG71Eq,NULL,NULL,NULL,1,"2012-07-30 22:11:07","2012-07-30 22:11:07",127.0.0.1,127.0.0.1,"2012-07-30 22:11:07","2012-07-30 22:11:07",g,g,g,g@gmail.com,m,1,0,NULL,NULL,NULL
8,h@gmail.com,$2a$10$YFdJNWSl2jA3.0LKNEvIIegUy4635QZXyAUVNIZ5kCAexVuKvEW/S,NULL,NULL,NULL,1,"2012-07-30 22:11:43","2012-07-30 22:11:43",127.0.0.1,127.0.0.1,"2012-07-30 22:11:43","2012-07-30 22:11:43",h,h,h,h@gmail.com,f,1,0,NULL,NULL,NULL
9,i@gmail.com,$2a$10$W2Xfw0OwgXWeSPmXGYYE4ut4pNK4dSRayO3Afy7o46dl0dCtYU5JS,NULL,NULL,NULL,1,"2012-07-30 22:12:14","2012-07-30 22:12:14",127.0.0.1,127.0.0.1,"2012-07-30 22:12:14","2012-07-30 22:12:14",i,i,i,i@gmail.com,m,1,0,NULL,NULL,NULL
10,j@gmail.com,$2a$10$FBIwlsokeJ91keBF/c9YReHWrOqPLTpGGKnnl4./8ezp.C4FDrjOe,NULL,NULL,NULL,1,"2012-07-30 22:12:50","2012-07-30 22:12:50",127.0.0.1,127.0.0.1,"2012-07-30 22:12:50","2012-07-30 22:12:50",j,j,j,j@gmail.com,m,1,0,NULL,NULL,NULL
